<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20201123,145200,239.5000000,239.7700000,239.5000000,239.7700000,61470
SBER,1,20201123,145300,239.8000000,239.8900000,239.7500000,239.8600000,67820
SBER,1,20201123,145400,239.8700000,239.9200000,239.8000000,239.8700000,86160
SBER,1,20201123,145500,239.8500000,239.8900000,239.8100000,239.8400000,14060
SBER,1,20201123,145600,239.8600000,239.8800000,239.8100000,239.8500000,22660
SBER,1,20201123,145700,239.8500000,239.8700000,239.8200000,239.8600000,19140
SBER,1,20201123,145800,239.8600000,239.8900000,239.5900000,239.6800000,89150
SBER,1,20201123,145900,239.6200000,239.8400000,239.6200000,239.8400000,26380
SBER,1,20201123,150000,239.8400000,239.9000000,239.8200000,239.9000000,29850
SBER,1,20201123,150100,239.9000000,240.0700000,239.8400000,240.0000000,184440
SBER,1,20201123,150200,240.0000000,240.1100000,239.9100000,239.9100000,164350
SBER,1,20201123,150300,239.9500000,240.1000000,239.8700000,240.1000000,140030
SBER,1,20201123,150400,240.0500000,240.2000000,240.0400000,240.1800000,94840
SBER,1,20201123,150500,240.1800000,240.2000000,240.0700000,240.1300000,88770
SBER,1,20201123,150600,240.1300000,240.1800000,240.0100000,240.1100000,41130
SBER,1,20201123,150700,240.1100000,240.1500000,239.9200000,239.9300000,153510
SBER,1,20201123,150800,239.9500000,240.2000000,239.9000000,239.9600000,336730
SBER,1,20201123,150900,240.0000000,240.0100000,239.9400000,239.9900000,19740
SBER,1,20201123,151000,239.9400000,240.0000000,239.9300000,239.9900000,28510
SBER,1,20201123,151100,239.9700000,239.9900000,239.8000000,239.9900000,60300
SBER,1,20201123,151200,239.9900000,240.1100000,239.9700000,239.9900000,141150
SBER,1,20201123,151300,239.9700000,239.9900000,239.9500000,239.9800000,22530
SBER,1,20201123,151400,239.9500000,239.9900000,239.8600000,239.9900000,40940
SBER,1,20201123,151500,239.9600000,240.1000000,239.9600000,240.0900000,23330
SBER,1,20201123,151600,240.1000000,240.1400000,240.0900000,240.1200000,26780
SBER,1,20201123,151700,240.1500000,240.2200000,240.1100000,240.2200000,96900
SBER,1,20201123,151800,240.2200000,240.2400000,240.1800000,240.2400000,55970
SBER,1,20201123,151900,240.2300000,240.2600000,240.1900000,240.2500000,69490
SBER,1,20201123,152000,240.2500000,240.3200000,240.2100000,240.3200000,76920
SBER,1,20201123,152100,240.3100000,240.3300000,240.2000000,240.2700000,113710
SBER,1,20201123,152200,240.2600000,240.2700000,240.2100000,240.2300000,14110
SBER,1,20201123,152300,240.2600000,240.2800000,240.2400000,240.2500000,10430
SBER,1,20201123,152400,240.2700000,240.2700000,240.2100000,240.2600000,30410
SBER,1,20201123,152500,240.2600000,240.2600000,240.2100000,240.2500000,13570
SBER,1,20201123,152600,240.2500000,240.3100000,240.1900000,240.2800000,111380
SBER,1,20201123,152700,240.2300000,240.2800000,240.2300000,240.2500000,9970
SBER,1,20201123,152800,240.2500000,240.3000000,240.1400000,240.2300000,100630
SBER,1,20201123,152900,240.2300000,240.2800000,240.2100000,240.2100000,43900
SBER,1,20201123,153000,240.2100000,240.2600000,240.2000000,240.2600000,59890
SBER,1,20201123,153100,240.2600000,240.3900000,240.2300000,240.3600000,212000
SBER,1,20201123,153200,240.3600000,240.4700000,240.2100000,240.2200000,180720
SBER,1,20201123,153300,240.2600000,240.2600000,240.1700000,240.2300000,75840
SBER,1,20201123,153400,240.2300000,240.2500000,240.2000000,240.2000000,30020
SBER,1,20201123,153500,240.2100000,240.2400000,240.0000000,240.0000000,107880
SBER,1,20201123,153600,240.0100000,240.0800000,239.9500000,240.0500000,51400
SBER,1,20201123,153700,240.0400000,240.0500000,239.8600000,239.9600000,76080
